role,python,r,sql,c,c++,java,javascript,julia,swift,bash,matlab,none,other,count
Business Analyst,67.4591381872214,27.786032689450224,51.56017830609212,6.389301634472511,7.726597325408618,8.915304606240714,9.36106983655275,0.44576523031203563,1.040118870728083,4.903417533432393,6.686478454680535,2.080237741456166,10.698365527488855,673
DBA/Database Engineer,77.14285714285715,22.857142857142858,85.71428571428571,11.428571428571429,14.285714285714285,20.0,18.095238095238095,0.9523809523809524,0.0,27.61904761904762,4.761904761904762,0.0,18.095238095238095,105
Data Analyst,77.96610169491525,33.01049233252623,57.78853914447135,7.586763518966909,9.443099273607748,7.263922518159806,10.653753026634384,0.645682001614205,0.5649717514124294,5.326876513317192,6.941081517352704,0.645682001614205,9.200968523002421,1239
Data Engineer,89.25619834710744,20.385674931129476,73.27823691460054,11.570247933884298,10.46831955922865,19.834710743801654,19.55922865013774,2.203856749311295,1.3774104683195594,22.58953168044077,9.090909090909092,0.27548209366391185,14.325068870523417,363
Data Scientist,92.91736930860034,37.39460370994941,56.66104553119731,9.232715008431704,11.762225969645868,11.382799325463743,10.919055649241146,2.6559865092748733,0.5480607082630692,16.06239460370995,8.853288364249579,0.21079258010118043,9.148397976391232,2372
Machine Learning Engineer,96.22641509433963,11.320754716981133,32.40843507214207,18.867924528301888,24.639289678135405,17.980022197558267,16.537180910099888,1.553829078801332,1.6648168701442843,16.204217536071035,13.873473917869033,0.0,7.880133185349611,901
Product/Project Manager,71.42857142857143,18.416523235800344,43.373493975903614,12.564543889845096,13.769363166953527,15.834767641996558,16.69535283993115,0.17211703958691912,1.549053356282272,8.950086058519794,8.433734939759036,2.2375215146299485,13.080895008605854,581
Research Scientist,82.06896551724138,29.458128078817737,22.660098522167488,20.39408866995074,24.334975369458128,15.862068965517242,11.231527093596059,3.4482758620689653,0.9852216748768473,14.679802955665025,26.00985221674877,0.49261083743842365,10.147783251231528,1015
Software Engineer,78.47702957835116,8.055380742605413,52.98930144745123,20.64191315292637,26.368785399622404,38.89238514789176,43.92699811202014,1.0069225928256766,2.7690371302706107,17.684078036500946,6.607929515418502,0.12586532410320958,25.613593455003148,1589
Statistician,54.83870967741935,77.82258064516128,28.62903225806452,9.274193548387096,12.096774193548388,2.4193548387096775,4.838709677419355,2.0161290322580645,0.8064516129032258,4.435483870967742,13.709677419354838,0.4032258064516129,15.725806451612904,248
