role,Q23_Part_1,Q23_Part_2,Q23_Part_3,Q23_Part_4,Q23_Part_5,Q23_Part_6,Q23_Part_7,Q23_OTHER,count
Business Analyst,79.9405646359584,28.97473997028232,22.58543833580981,13.521545319465082,11.738484398216938,10.104011887072808,9.50965824665676,3.1203566121842496,673
DBA/Database Engineer,38.095238095238095,44.761904761904766,17.142857142857142,5.714285714285714,10.476190476190476,11.428571428571429,24.761904761904763,4.761904761904762,105
Data Analyst,82.97013720742534,35.59322033898305,20.419693301049232,15.173527037933818,15.49636803874092,11.138014527845035,6.456820016142049,4.600484261501211,1239
Data Engineer,65.84022038567493,62.53443526170799,35.81267217630854,25.6198347107438,24.242424242424242,12.672176308539946,4.40771349862259,4.683195592286501,363
Data Scientist,77.48735244519392,39.41821247892074,60.53962900505903,44.05564924114671,49.620573355817875,26.39123102866779,3.0354131534569984,3.414839797639123,2372
Machine Learning Engineer,48.6126526082131,37.846836847946726,54.05105438401776,47.502774694783575,50.38845726970034,35.62708102108768,5.3274139844617086,4.772475027746948,901
Product/Project Manager,59.552495697074015,26.67814113597246,33.218588640275385,20.309810671256454,20.65404475043029,13.769363166953527,19.965576592082616,2.4096385542168677,581
Research Scientist,41.083743842364534,17.536945812807883,43.74384236453202,20.19704433497537,36.7487684729064,49.45812807881773,11.330049261083744,3.645320197044335,1015
Software Engineer,36.8785399622404,25.55066079295154,27.564505978602895,16.803020767778477,17.684078036500946,12.901195720578981,33.98363750786658,5.349276274386407,1589
Statistician,66.12903225806451,25.403225806451612,20.967741935483872,13.306451612903224,20.161290322580644,25.403225806451612,16.93548387096774,8.064516129032258,248
